Country,Code,Year,Nitrous_Oxide_emissions,Methane_emissions,CO2_emissions,Total_Emissions,Nitrous_Oxide_Percentage,Methane_Percentage,CO2_Percentage
World,OWID_WRL,1985,2159674400,7389074000,25434644000,34983392400,6.173427595,21.12166229,72.70491012
World,OWID_WRL,1986,2165048300,7492555300,25897908000,35555511600,6.089205872,21.07283783,72.8379563
World,OWID_WRL,1987,2211225900,7575858000,26224708000,36011791900,6.1402829,21.03715922,72.82255788
World,OWID_WRL,1988,2203937800,7707428400,26820393000,36731759200,6.000087793,20.98300917,73.01690304
World,OWID_WRL,1989,2227226000,7882258400,27043900000,37153384400,5.994678644,21.21545191,72.78986945
World,OWID_WRL,1990,2235833000,7922044000,27358580000,37516457000,5.95960594,21.11618376,72.9242103
World,OWID_WRL,1991,2215446800,7894829000,27621520000,37731795800,5.871564692,20.92354428,73.20489103
World,OWID_WRL,1992,2231490800,7886601000,27225686000,37343777800,5.975535769,21.11891583,72.9055484
World,OWID_WRL,1993,2215232000,7907494000,27360092000,37482818000,5.909993213,21.09631672,72.99369007
World,OWID_WRL,1994,2254487600,7978743000,28216310000,38449540600,5.863496845,20.75120502,73.38529813
World,OWID_WRL,1995,2317894000,8099806000,28537694000,38955394000,5.950123364,20.79251464,73.257362
World,OWID_WRL,1996,2365439700,8187666400,29568004000,40121110100,5.895748383,20.40737751,73.69687411
World,OWID_WRL,1997,2345032700,8190730000,31164310000,41700072700,5.623569812,19.64200413,74.73442606
World,OWID_WRL,1998,2360753700,8126733300,29740409000,40227896000,5.868449347,20.20173588,73.92981477
World,OWID_WRL,1999,2374050600,8170446300,30054218000,40598714900,5.847600363,20.12488898,74.02751066
World,OWID_WRL,2000,2358258700,8328514000,30082568000,40769340700,5.784392535,20.42837548,73.78723198
World,OWID_WRL,2001,2368829700,8325567500,29919089000,40613486200,5.832618476,20.49951452,73.66786701
World,OWID_WRL,2002,2404541200,8317607000,30824399000,41546547200,5.787583715,20.01997172,74.19244456
World,OWID_WRL,2003,2419334400,8547519500,32640156000,43607009900,5.54804011,19.60125108,74.85070881
World,OWID_WRL,2004,2501009000,8734270000,33099530000,44334809000,5.641185913,19.70070515,74.65810894
World,OWID_WRL,2005,2523355600,8891205000,33533485000,44948045600,5.613938418,19.78107142,74.60499017
World,OWID_WRL,2006,2563218000,9067994000,34837730000,46468942000,5.515980975,19.5140961,74.96992292
World,OWID_WRL,2007,2637330000,9150783000,34993504000,46781617000,5.637534932,19.56063853,74.80182654
World,OWID_WRL,2008,2609540900,9260415000,35709334000,47579289900,5.484615061,19.4631215,75.05226344
World,OWID_WRL,2009,2580072200,9209168000,35702890000,47492130200,5.432631026,19.3909348,75.17643418
World,OWID_WRL,2010,2639586300,9393331000,37390650000,49423567300,5.340744192,19.00577298,75.65348283
World,OWID_WRL,2011,2738929000,9666748000,38535650000,50941327000,5.376634574,18.97623908,75.64712635
World,OWID_WRL,2012,2766991600,9766811000,39171520000,51705322600,5.351463758,18.88937252,75.75916372
World,OWID_WRL,2013,2754491400,9740897000,38964760000,51460148400,5.352668979,18.92901071,75.71832031
World,OWID_WRL,2014,2787979500,9827734000,39547945000,52163658500,5.344677847,18.84019312,75.81512903
World,OWID_WRL,2015,2794370000,9844865000,39919920000,52559155000,5.31661896,18.73101841,75.95236263
World,OWID_WRL,2016,2811907000,9870126000,38868345000,51550378000,5.454677752,19.14656377,75.39875847
World,OWID_WRL,2017,2869500400,10030719000,39349215000,52249434400,5.491926244,19.19775614,75.31031762
World,OWID_WRL,2018,2865543700,10178349000,39776120000,52820012700,5.425109828,19.26987231,75.30501786
World,OWID_WRL,2019,2852601300,10244368000,40358085000,53455054300,5.336448232,19.16445158,75.49910019
World,OWID_WRL,2020,2901733400,10127275000,38429233000,51458241400,5.639006155,19.68056957,74.68042427
World,OWID_WRL,2021,2943274200,10287874000,40215392000,53446540200,5.506949915,19.24890547,75.24414462
World,OWID_WRL,2022,2969827800,10485365000,40395970000,53851162800,5.514881473,19.47100945,75.01410907
